Date,Open,High,Low,Close,Adj Close,Volume
2019-03-13,98.650002,98.650002,98.650002,98.650002,98.650002,0
2019-03-14,98.730003,98.730003,98.730003,98.730003,98.730003,0
2019-03-15,98.790001,98.790001,98.790001,98.790001,98.790001,0
2019-03-16,98.779999,98.779999,98.779999,98.779999,98.779999,0
2019-03-17,98.760002,98.760002,98.760002,98.760002,98.760002,0
2019-03-18,98.760002,98.760002,98.760002,98.760002,98.760002,0
2019-03-19,98.760002,98.760002,98.760002,98.760002,98.760002,0
2019-03-20,98.779999,98.779999,98.779999,98.779999,98.779999,0
2019-03-21,98.860001,98.860001,98.860001,98.860001,98.860001,0
2019-03-22,98.769997,98.769997,98.769997,98.769997,98.769997,0
2019-03-23,98.739998,98.739998,98.739998,98.739998,98.739998,0
2019-03-24,98.779999,98.779999,98.779999,98.779999,98.779999,0
2019-03-25,98.769997,98.769997,98.769997,98.769997,98.769997,0
2019-03-26,98.800003,98.800003,98.800003,98.800003,98.800003,0
2019-03-27,98.800003,98.800003,98.800003,98.800003,98.800003,0
2019-03-28,98.830002,98.830002,98.830002,98.830002,98.830002,0
2019-03-29,98.849998,98.849998,98.849998,98.849998,98.849998,0
2019-03-30,98.849998,98.849998,98.849998,98.849998,98.849998,0
2019-03-31,98.849998,98.849998,98.849998,98.849998,98.849998,0
2019-04-01,98.629997,98.629997,98.629997,98.629997,98.629997,0
2019-04-02,98.309998,98.309998,98.309998,98.309998,98.309998,0
2019-04-03,98.339996,98.339996,98.339996,98.339996,98.339996,0
2019-04-04,98.489998,98.489998,98.489998,98.489998,98.489998,0
2019-04-05,98.480003,98.480003,98.480003,98.480003,98.480003,0
2019-04-06,98.510002,98.510002,98.510002,98.510002,98.510002,0
2019-04-07,98.680000,98.680000,98.680000,98.680000,98.680000,0
2019-04-08,98.750000,98.750000,98.750000,98.750000,98.750000,0
2019-04-09,98.709999,98.709999,98.709999,98.709999,98.709999,0
2019-04-10,98.680000,98.680000,98.680000,98.680000,98.680000,0
2019-04-11,98.639999,98.639999,98.639999,98.639999,98.639999,0
2019-04-12,98.550003,98.550003,98.550003,98.550003,98.550003,0
2019-04-13,98.529999,98.529999,98.529999,98.529999,98.529999,0
2019-04-14,98.510002,98.510002,98.510002,98.510002,98.510002,0
2019-04-15,98.449997,98.449997,98.449997,98.449997,98.449997,0
2019-04-16,99.970001,99.970001,99.970001,99.970001,99.970001,0
2019-04-17,101.160004,101.160004,101.160004,101.160004,101.160004,0
2019-04-18,101.239998,101.239998,101.239998,101.239998,101.239998,0
2019-04-19,101.349998,101.349998,101.349998,101.349998,101.349998,0
2019-04-20,101.389999,101.389999,101.389999,101.389999,101.389999,0
2019-04-21,101.330002,101.330002,101.330002,101.330002,101.330002,0
2019-04-22,101.290001,101.290001,101.290001,101.290001,101.290001,0
2019-04-23,101.279999,101.279999,101.279999,101.279999,101.279999,0
2019-04-24,101.230003,101.230003,101.230003,101.230003,101.230003,0
2019-04-25,101.139999,101.139999,101.139999,101.139999,101.139999,0
2019-04-26,101.139999,101.139999,101.139999,101.139999,101.139999,0
2019-04-27,101.139999,101.139999,101.139999,101.139999,101.139999,0
2019-04-28,101.080002,101.080002,101.080002,101.080002,101.080002,0
2019-04-29,100.980003,100.980003,100.980003,100.980003,100.980003,0
2019-04-30,100.940002,100.940002,100.940002,100.940002,100.940002,0
2019-05-01,100.930000,100.930000,100.930000,100.930000,100.930000,0
2019-05-02,100.879997,100.879997,100.879997,100.879997,100.879997,0
2019-05-03,100.870003,100.870003,100.870003,100.870003,100.870003,0
2019-05-04,100.870003,100.870003,100.870003,100.870003,100.870003,0
2019-05-05,100.839996,100.839996,100.839996,100.839996,100.839996,0
2019-05-06,100.820000,100.820000,100.820000,100.820000,100.820000,0
2019-05-07,100.820000,100.820000,100.820000,100.820000,100.820000,0
2019-05-08,100.739998,100.739998,100.739998,100.739998,100.739998,0
2019-05-09,100.709999,100.709999,100.709999,100.709999,100.709999,0
2019-05-10,100.750000,100.750000,100.750000,100.750000,100.750000,0
2019-05-11,100.730003,100.730003,100.730003,100.730003,100.730003,0
2019-05-12,100.699997,100.699997,100.699997,100.699997,100.699997,0
2019-05-13,100.650002,100.650002,100.650002,100.650002,100.650002,0
2019-05-14,100.589996,100.589996,100.589996,100.589996,100.589996,0
2019-05-15,100.540001,100.540001,100.540001,100.540001,100.540001,0
